taxon_name	ref_id	sh_id	rep	taxonomy	taxon_name_sh
40	Pleotrichocladium_opacum	JN995638	SH0985614.09FU	refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Pleotrichocladium;s__Pleotrichocladium_opacum	Pleotrichocladium_opacum_SH0985614.09FU
41	Mortierella_sp	UDB04897213	SH1196026.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	Mortierella_sp_SH1196026.09FU
42	Haplosporidia_sp	UDB03260640	SH1045615.09FU	reps	k__Rhizaria;p__Haplosporidia;c__Haplosporidia_cls_Incertae_sedis;o__Haplosporidia_ord_Incertae_sedis;f__Haplosporidia_fam_Incertae_sedis;g__Haplosporidia_gen_Incertae_sedis;s__Haplosporidia_sp	Haplosporidia_sp_SH1045615.09FU
43	Ascomycota_sp	UDB06311152	SH1276113.09FU	reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	Ascomycota_sp_SH1276113.09FU
44	Spumella_sp	UDB02006032	SH1174901.09FU	reps	k__Stramenopila;p__Ochrophyta;c__Chrysophyceae;o__Chromulinales;f__Chromulinaceae;g__Spumella;s__Spumella_sp	Spumella_sp_SH1174901.09FU
45	Ascomycota_sp	UDB06736436	SH1276307.09FU	reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	Ascomycota_sp_SH1276307.09FU
46	Ascomycota_sp	HM162090	SH1009332.09FU	reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	Ascomycota_sp_SH1009332.09FU
47	Pythiaceae_sp	KU209993	SH1015453.09FU	reps	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythiaceae_gen_Incertae_sedis;s__Pythiaceae_sp	Pythiaceae_sp_SH1015453.09FU
48	Niesslia_mucida	MG826989	SH1078447.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;g__Niesslia;s__Niesslia_mucida	Niesslia_mucida_SH1078447.09FU
49	Mortierella_ambigua	UDB04841880	SH1213079.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_ambigua	Mortierella_ambigua_SH1213079.09FU
50	Fusarium_equiseti	GQ505688	SH3082323.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_equiseti	Fusarium_equiseti_SH3082323.09FU
51	Corynespora_cassiicola	KF266781	SH0978221.09FU	reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Corynesporascaceae;g__Corynespora;s__Corynespora_cassiicola	Corynespora_cassiicola_SH0978221.09FU
52	Perenniporia_paraguyanensis	MH392567	SH1163922.09FU	refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Perenniporia;s__Perenniporia_paraguyanensis	Perenniporia_paraguyanensis_SH1163922.09FU
53	Nectriaceae_sp	KX788197	SH0994942.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp	Nectriaceae_sp_SH0994942.09FU
54	Mortierella_sp	UDB04771194	SH1196055.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	Mortierella_sp_SH1196055.09FU
55	Mortierellales_sp	UDB04950611	SH1252051.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp	Mortierellales_sp_SH1252051.09FU
56	Laboulbeniomycetes_sp	UDB01373948	SH0960796.09FU	reps	k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Laboulbeniomycetes_ord_Incertae_sedis;f__Laboulbeniomycetes_fam_Incertae_sedis;g__Laboulbeniomycetes_gen_Incertae_sedis;s__Laboulbeniomycetes_sp	Laboulbeniomycetes_sp_SH0960796.09FU
57	Helicotylenchus_sp	KM506864	SH1006381.09FU	reps	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Hoplolaimidae;g__Helicotylenchus;s__Helicotylenchus_sp	Helicotylenchus_sp_SH1006381.09FU
58	Glomeraceae_sp	MT765533	SH0957430.09FU	reps	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen_Incertae_sedis;s__Glomeraceae_sp	Glomeraceae_sp_SH0957430.09FU
59	Eukaryota_sp	UDB0517954	SH1144280.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1144280.09FU
60	Eukaryota_sp	UDB0230220	SH1163404.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1163404.09FU
61	Classiculales_sp	UDB0482515	SH0942590.09FU	reps	k__Fungi;p__Basidiomycota;c__Classiculomycetes;o__Classiculales;f__Classiculales_fam_Incertae_sedis;g__Classiculales_gen_Incertae_sedis;s__Classiculales_sp	Classiculales_sp_SH0942590.09FU
62	Bryophyllum_sp	UDB01565902	SH1051291.09FU	reps	k__Alveolata;p__Ciliophora;c__Litostomatea;o__Haptorida;f__Spathidiidae;g__Bryophyllum;s__Bryophyllum_sp	Bryophyllum_sp_SH1051291.09FU
63	Basidiomycota_sp	UDB03120394	SH0942591.09FU	reps	k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis;o__Basidiomycota_ord_Incertae_sedis;f__Basidiomycota_fam_Incertae_sedis;g__Basidiomycota_gen_Incertae_sedis;s__Basidiomycota_sp	Basidiomycota_sp_SH0942591.09FU
64	Wongia_sp	KU839585	SH0909348.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Papulosaceae;g__Wongia;s__Wongia_sp	Wongia_sp_SH0909348.09FU
65	Septoglomus_sp	KF849493	SH0939971.09FU	reps	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__Septoglomus_sp	Septoglomus_sp_SH0939971.09FU
66	Pythiaceae_sp	AB512977	SH1187149.09FU	reps	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythiaceae_gen_Incertae_sedis;s__Pythiaceae_sp	Pythiaceae_sp_SH1187149.09FU
67	Podila_minutissima	HQ630323	SH0888026.09FU	refs	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_minutissima	Podila_minutissima_SH0888026.09FU
68	Penicillium_sp	UDB0162238	SH1056194.09FU	reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp	Penicillium_sp_SH1056194.09FU
69	Kickxellomycota_sp	UDB0340342	SH1329011.09FU	reps	k__Fungi;p__Kickxellomycota;c__Kickxellomycota_cls_Incertae_sedis;o__Kickxellomycota_ord_Incertae_sedis;f__Kickxellomycota_fam_Incertae_sedis;g__Kickxellomycota_gen_Incertae_sedis;s__Kickxellomycota_sp	Kickxellomycota_sp_SH1329011.09FU
70	Fusarium_solani	KT899480	SH0937626.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani	Fusarium_solani_SH0937626.09FU
71	Eukaryota_sp	UDB0583421	SH1142925.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1142925.09FU
72	Eukaryota_sp	KU209952	SH1034324.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1034324.09FU
73	Fusarium_kurunegalense	JF433036	SH1445045.09FU	refs_singleton	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_kurunegalense	Fusarium_kurunegalense_SH1445045.09FU
74	Eukaryota_sp	UDB0703151	SH1154161.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1154161.09FU
75	Dactylonectria_macrodidyma	AY677290	SH0972898.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_macrodidyma	Dactylonectria_macrodidyma_SH0972898.09FU
76	Ascomycota_sp	UDB05470797	SH1078570.09FU	reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	Ascomycota_sp_SH1078570.09FU
77	Vishniacozyma_victoriae	AF444469	SH0994206.09FU	refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	Vishniacozyma_victoriae_SH0994206.09FU
78	Thelonectria_blackeriella	KX778711	SH1393505.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Thelonectria;s__Thelonectria_blackeriella	Thelonectria_blackeriella_SH1393505.09FU
79	Tetragoniomycetaceae_sp	UDB05478668	SH1102023.09FU	reps	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Tetragoniomycetaceae;g__Tetragoniomycetaceae_gen_Incertae_sedis;s__Tetragoniomycetaceae_sp	Tetragoniomycetaceae_sp_SH1102023.09FU
80	Septoglomus_viscosum	UDB06941573	SH0939939.09FU	reps	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__Septoglomus_viscosum	Septoglomus_viscosum_SH0939939.09FU
81	Septoglomus_sp	UDB06941702	SH1145875.09FU	reps	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__Septoglomus_sp	Septoglomus_sp_SH1145875.09FU
82	Schizothecium_sp	UDB06568671	SH0965329.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_sp	Schizothecium_sp_SH0965329.09FU
83	Sakaguchia_sp	UDB06521814	SH1223415.09FU	reps	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Sakaguchiales;f__Sakaguchiaceae;g__Sakaguchia;s__Sakaguchia_sp	Sakaguchia_sp_SH1223415.09FU
84	Rhizophlyctis_sp	UDB06412835	SH1067624.09FU	reps	k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales;f__Rhizophlyctidaceae;g__Rhizophlyctis;s__Rhizophlyctis_sp	Rhizophlyctis_sp_SH1067624.09FU
85	Oomycetes_sp	UDB05870648	SH1013002.09FU	reps	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Oomycetes_ord_Incertae_sedis;f__Oomycetes_fam_Incertae_sedis;g__Oomycetes_gen_Incertae_sedis;s__Oomycetes_sp	Oomycetes_sp_SH1013002.09FU
86	Oomycetes_sp	UDB0224660	SH1097650.09FU	reps	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Oomycetes_ord_Incertae_sedis;f__Oomycetes_fam_Incertae_sedis;g__Oomycetes_gen_Incertae_sedis;s__Oomycetes_sp	Oomycetes_sp_SH1097650.09FU
87	Neocosmospora_rubicola	KM231800	SH3195171.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neocosmospora;s__Neocosmospora_rubicola	Neocosmospora_rubicola_SH3195171.09FU
88	Mortierella_sp	UDB0578238	SH1174856.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	Mortierella_sp_SH1174856.09FU
89	Minimedusa_polyspora	AB972802	SH1291776.09FU	refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Minimedusa;s__Minimedusa_polyspora	Minimedusa_polyspora_SH1291776.09FU
90	Fungi_sp	MZ448583	SH0994959.09FU	reps	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	Fungi_sp_SH0994959.09FU
91	Cercozoa_sp	UDB0505065	SH1271093.09FU	reps	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis;f__Cercozoa_fam_Incertae_sedis;g__Cercozoa_gen_Incertae_sedis;s__Cercozoa_sp	Cercozoa_sp_SH1271093.09FU
92	Basidiomycota_sp	UDB01500186	SH1118189.09FU	reps	k__Fungi;p__Basidiomycota;c__Basidiomycota_cls_Incertae_sedis;o__Basidiomycota_ord_Incertae_sedis;f__Basidiomycota_fam_Incertae_sedis;g__Basidiomycota_gen_Incertae_sedis;s__Basidiomycota_sp	Basidiomycota_sp_SH1118189.09FU
93	Ustilago_nunavutica	KF381025	SH1089538.09FU	refs	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Ustilago;s__Ustilago_nunavutica	Ustilago_nunavutica_SH1089538.09FU
94	Tremellomycetes_sp	UDB082778	SH1034210.09FU	reps	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellomycetes_ord_Incertae_sedis;f__Tremellomycetes_fam_Incertae_sedis;g__Tremellomycetes_gen_Incertae_sedis;s__Tremellomycetes_sp	Tremellomycetes_sp_SH1034210.09FU
95	Tetracystis_sp	UDB05474450	SH1287785.09FU	reps	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Tetracystis;s__Tetracystis_sp	Tetracystis_sp_SH1287785.09FU
96	Stemphylium_trifolii	KU850647	SH1346065.09FU	refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium_trifolii	Stemphylium_trifolii_SH1346065.09FU
97	Spizellomycetales_sp	UDB07382333	SH1111728.09FU	reps	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__Spizellomycetales_fam_Incertae_sedis;g__Spizellomycetales_gen_Incertae_sedis;s__Spizellomycetales_sp	Spizellomycetales_sp_SH1111728.09FU
